"","LastSalePrice","SQFTmain","Bedrooms","Bathrooms","ZIPcode5","YearOfSale","LandSQFT","TaxBeforeSale","AgeNew","Pool","View"
"481",14450144,5084,3,4,90210,2018,38725,14892000,TRUE,TRUE,"none"
"482",5500055,5119,4,6,90210,2015,58149,4079919,TRUE,TRUE,"none"
"483",1700017,3194,4,4,90210,2011,18180,425468,TRUE,FALSE,"none"
"484",3975039,4836,4,5,90210,2011,14458,392181,TRUE,TRUE,"none"
"485",6850000,4872,5,6,90210,2014,30697,5750000,TRUE,TRUE,"none"
"486",2860028,4025,4,3,90210,2009,15106,3400000,TRUE,TRUE,"none"
"487",5000050,NA,3,4,90210,2012,20093,3375000,TRUE,TRUE,"none"
"488",12750127,5000,4,6,90210,2018,39947,373926,TRUE,TRUE,"City"
"489",5694556,NA,4,6,90210,2011,31776,5040000,TRUE,TRUE,"none"
"490",8900089,5991,9,8,90210,2014,47802,445946,TRUE,TRUE,"none"
"491",19000190,9857,5,7,90210,2019,42044,14544496,TRUE,TRUE,"none"
"492",14049000,NA,6,8,90210,2013,31537,8011183,TRUE,TRUE,"none"
"493",12300123,5738,5,7,90210,2018,35638,3075953,TRUE,TRUE,"none"
"494",5485054,4151,4,5,90210,2019,14649,6000000,TRUE,TRUE,"none"
"495",3778037,7440,6,7,90210,2014,14695,1449027,TRUE,TRUE,"none"
"496",6600066,5216,5,5,90210,2013,38137,696283,TRUE,TRUE,"none"
"497",7200072,4120,4,5,90210,2013,31380,2358672,TRUE,TRUE,"none"
"498",14000140,4927,2,5,90210,2018,28819,6764133,TRUE,TRUE,"none"
"499",3680000,3409,5,4,90210,2010,19548,4487532,TRUE,TRUE,"none"
"500",5800058,5756,4,6,90210,2013,20299,534804,TRUE,TRUE,"none"
"501",9730097,6495,5,7,90210,2018,28700,6731107,TRUE,FALSE,"none"
"502",6000060,4837,5,5,90210,2017,14480,1874534,TRUE,TRUE,"none"
"503",17500175,15404,6,11,90210,2011,63737,7590843,TRUE,FALSE,"none"
"504",7725000,6141,5,7,90210,2014,17643,6500000,TRUE,FALSE,"none"
"505",7400074,8047,6,8,90210,2012,15313,6853760,TRUE,TRUE,"none"
"506",23000230,NA,4,9,90210,2016,31702,5785320,TRUE,TRUE,"none"
"507",5575055,2709,3,4,90210,2019,12234,3675193,FALSE,TRUE,"none"
"508",8800088,7299,5,6,90210,2013,26326,2104433,TRUE,TRUE,"City"
"509",11500000,5880,5,7,90210,2015,50427,627978,TRUE,TRUE,"none"
"510",2226022,3255,3,4,90210,2011,14073,2216566,TRUE,FALSE,"none"
"511",7100071,4971,3,5,90210,2018,22097,6109773,TRUE,TRUE,"none"
"512",3750037,2416,3,4,90210,2015,16229,4436269,TRUE,TRUE,"City"
"513",9500095,5633,3,5,90210,2016,24997,3896139,TRUE,TRUE,"none"
"514",4400044,2820,4,4,90210,2017,22681,3995000,TRUE,FALSE,"none"
"515",27500275,15689,6,10,90210,2019,39458,20434675,TRUE,TRUE,"none"
"516",3250000,4615,4,5,90210,2012,15429,394183,TRUE,TRUE,"none"
"517",3522035,3183,3,4,90210,2015,41628,1672234,FALSE,TRUE,"none"
"518",23000230,NA,9,8,90210,2013,89504,11071532,TRUE,TRUE,"none"
"519",4900049,3430,7,4,90210,2008,17305,335348,TRUE,TRUE,"none"
"520",3100031,3418,4,3,90210,2009,15070,2315542,TRUE,TRUE,"none"
"521",10700107,8032,7,9,90210,2014,20190,6409999,TRUE,TRUE,"none"
"522",8950089,4691,4,5,90210,2015,23661,1182685,TRUE,TRUE,"none"
"523",13700137,10309,6,10,90210,2019,22093,7459729,FALSE,TRUE,"none"
"524",7100000,NA,3,6,90210,2012,22667,5983987,TRUE,TRUE,"none"
"525",6895068,4251,4,5,90210,2017,20046,6112100,TRUE,TRUE,"none"
"526",10350103,7524,8,7,90210,2017,46123,504282,TRUE,FALSE,"none"
"527",33000330,9519,6,10,90210,2016,36357,32101575,TRUE,FALSE,"Water"
"528",15975159,NA,5,7,90210,2010,30022,13464000,TRUE,TRUE,"none"
"529",18200182,5889,5,8,90210,2012,37438,7433253,TRUE,TRUE,"none"
"530",3550000,NA,3,4,90210,2012,28529,382081,TRUE,TRUE,"none"
"531",7650076,8956,7,9,90210,2012,22127,4938417,TRUE,TRUE,"none"
"532",6300063,4434,4,5,90210,2012,20238,622474,TRUE,TRUE,"none"
"533",10000000,10165,8,11,90210,2009,52208,1063941,TRUE,TRUE,"none"
"534",19920199,10656,4,8,90210,2017,31961,6418436,TRUE,TRUE,"none"
"535",2850028,2611,3,3,90210,2011,17504,264471,TRUE,TRUE,"none"
"536",13000000,NA,4,9,90210,2009,38208,6465113,TRUE,TRUE,"City"
"537",6895068,3724,4,5,90210,2009,13551,2183586,TRUE,TRUE,"none"
"538",2750000,4604,5,6,90210,2011,17942,2392751,TRUE,TRUE,"none"
"539",6350000,3610,4,5,90210,2013,44938,5380500,TRUE,TRUE,"none"
"540",4293042,NA,5,8,90210,2014,14138,332060,TRUE,TRUE,"none"
"541",7455000,6586,5,6,90210,2008,22153,669763,TRUE,TRUE,"none"
"542",4350000,4470,5,5,90210,2014,9433,2687700,TRUE,TRUE,"none"
"543",4400044,3114,4,4,90210,2013,13365,2550000,TRUE,TRUE,"none"
"544",6006060,3669,4,4,90210,2018,16892,1133622,TRUE,FALSE,"none"
"545",4600046,2882,3,5,90210,2017,19843,1062555,TRUE,TRUE,"none"
